pub,label,doi
http://info.deepcarbon.net/individual/d52b6ec14-f0a2-4201-8c83-9ed543ca07a2,"Gas hydrates in shallow deposits of the Amsterdam mud volcano, Anaximander Mountains, Northeastern Mediterranean Sea",10.1007/s00367-010-0197-8
http://info.deepcarbon.net/individual/d7b4bcec7-9da4-4835-b86f-25cb16cb89ac,"Fluid flow and fluid-rock interaction within the oceanic crust:�� Reconciling geological, geochemical, and geophysical observations",10.1029/144GM07
http://info.deepcarbon.net/individual/d85b09897-7fb7-4f11-826a-bfbe7cf22aa2,Stromatolites in Precambrian carbonates: Evolutionary mileposts or environmental dipsticks?,10.1146/annurev.earth.27.1.313
http://info.deepcarbon.net/individual/42d4ec7b-f532-4358-9c2d-60cd52ecffd8,Diamond Formation: A Stable Isotope Perspective,10.1146/annurev-earth-042711-105259
http://info.deepcarbon.net/individual/d2f346c08-bebe-408f-b88d-b5bdd5beb157,"The new diamond age? (vol 319, pg 1490, 2008)",10.1126/science.1154949
http://info.deepcarbon.net/individual/01152080-cae1-43b3-9ebd-a1d8c26fbd27,"Characterization and interpretation of volcanic activity at Karymsky Volcano, Kamchatka, Russia, using observations of infrasound, volcanic emissions, and thermal imagery",10.1002/2013GC004817
http://info.deepcarbon.net/individual/d7ab7ee32-551e-48b1-baa0-37d0f3270034,"Heat and free energy of formation of carbon dioxide, and of the transition between graphite and diamond",10.6028/jres.021.028
http://info.deepcarbon.net/individual/67f9c2f0-6b59-4325-a567-e4d97a57cad9,Eruption of a deep-sea mud volcano triggers rapid sediment movement,10.1038/ncomms6385
http://info.deepcarbon.net/individual/n7504,Carbon precipitation from heavy hydrocarbon fluid in deep planetary interiors,10.1038/ncomms3446
http://info.deepcarbon.net/individual/d9733ed63-7f78-4448-be99-2d5106393422,C-60 - BUCKMINSTERFULLERENE,10.1038/318162a0
http://info.deepcarbon.net/individual/d14642f9a-190f-4209-9793-01fca0c97759,"STROMATOLITES 3,400-MYR OLD FROM THE ARCHEAN OF WESTERN-AUSTRALIA",10.1038/284441a0
http://info.deepcarbon.net/individual/ddda07601-5dc6-48b7-9904-7faaec8429f3,"Fate of carbonates within oceanic plates subducted to the lower mantle, and a possible mechanism of diamond formation",10.1007/s00269-008-0215-9
http://info.deepcarbon.net/individual/359d75fe-d75b-47db-87c0-e7b435c899c6,��-Ferric Oxide: Low Temperature Heat Capacity and Thermodynamic Functions,10.1021/ja01517a002
http://info.deepcarbon.net/individual/d12639e36-15e6-4d13-811d-a6a93164294b,CHROME-RICH GARNETS FROM KIMBERLITES OF YAKUTIA AND THEIR PARAGENESES,10.1007/BF00371762
